"country","num_users","avg_nbr_ratings","population_in_2010","percentage_reviewers_per_country","nbr_breweries","consumption_per_inhabitant_L_per_year_wikipedia","consumption_per_country_millionL_per_year_wikipedia","log_num_users","normalized_number_breweries"
"China",110.0,19.163636363636364,1337705000.0,8.223038711823608e-06,124.0,29.0,43266.0,4.709530201312334,3.1964163017746937e-09
"Puerto Rico",110.0,15.972727272727273,3721525.0,0.0029557775374342505,48.0,54.8,203.0,4.709530201312334,2.353638384154679e-07
"Singapore",103.0,8.679611650485437,5076732.0,0.0020288642378601036,73.0,20.9,"NaN",4.6443908991413725,6.880061753323156e-07
"Israel",103.0,34.271844660194176,7623600.0,0.0013510677370271262,103.0,17.4,"NaN",4.6443908991413725,7.764757109351302e-07
"Argentina",102.0,10.27450980392157,40788453.0,0.00025007077370647033,176.0,"NaN","NaN",4.634728988229636,"NaN"
"Slovak Republic",99.0,85.88888888888889,5391428.0,0.0018362482073395025,118.0,80.0,168.0,4.605170185988092,2.735824349318956e-07
"Thailand",88.0,15.784090909090908,68270489.0,0.0001288990327870656,67.0,27.0,"NaN",4.48863636973214,3.63477912320429e-08
"Ukraine",85.0,51.94117647058823,45870741.0,0.00018530330695987665,102.0,"NaN","NaN",4.454347296253507,"NaN"
"Latvia",82.0,39.71951219512195,2097555.0,0.00390931346257905,106.0,81.4,155.0,4.418840607796598,6.208234359582e-07
"Lithuania",73.0,55.31506849315068,3097282.0,0.0023569051833187936,99.0,74.4,216.0,4.30406509320417,4.296170517538676e-07
"Iceland",67.0,28.73134328358209,318041.0,0.021066466273216348,69.0,"NaN","NaN",4.219507705176107,"NaN"
