,ba_beer_id,ba_date,ba_user_name,rb_date,rb_user_name,time_diff
787,18467,2004-09-01 10:00:00,crosling,2004-08-20 10:00:00,rastacouere,12
797,18721,2006-11-14 11:00:00,joe1510,2007-03-01 11:00:00,yesyouam,107
812,19488,2004-09-10 10:00:00,aracauna,2004-09-02 10:00:00,rajendra82,8
834,20194,2005-03-28 10:00:00,gusler,2005-02-10 11:00:00,crosling,45
851,20518,2005-09-13 10:00:00,rastacouere,2005-04-25 10:00:00,crosling,141
905,22165,2007-12-09 11:00:00,chaingangguy,2008-04-15 10:00:00,baggio,127
907,22197,2009-03-14 11:00:00,koopa,2009-05-16 10:00:00,sammy,62
1002,25277,2006-01-29 11:00:00,gusler,2005-11-09 11:00:00,crosling,81
1015,25612,2005-11-08 11:00:00,rastacouere,2005-10-09 10:00:00,hopdog,30
1026,25851,2007-05-04 10:00:00,sammy,2007-05-03 10:00:00,beerbelcher,1
1039,26120,2010-04-24 10:00:00,blackhaddock,2010-08-16 10:00:00,mora2000,114
1056,26497,2006-02-06 11:00:00,weeare138,2005-12-21 11:00:00,nick76,47
1082,27204,2006-04-14 10:00:00,weeare138,2006-01-30 11:00:00,crosling,73
1096,27697,2006-01-19 11:00:00,weeare138,2006-01-18 11:00:00,egajdzis,1
1099,27795,2006-01-13 11:00:00,hopdog,2006-01-12 11:00:00,weeare138,1
1100,27795,2006-01-13 11:00:00,weeare138,2006-01-12 11:00:00,hopdog,1
1111,28030,2010-02-16 11:00:00,crossovert,2010-06-07 10:00:00,drpimento,110
1116,28160,2006-02-03 11:00:00,weeare138,2005-12-11 11:00:00,hopdog,54
1166,30136,2006-04-27 10:00:00,weeare138,2006-04-26 10:00:00,egajdzis,1
1168,30140,2006-04-27 10:00:00,weeare138,2006-04-26 10:00:00,egajdzis,1
1201,31120,2006-07-25 10:00:00,mcallister,2006-08-02 10:00:00,phatz,8
1215,31407,2006-06-29 10:00:00,sammy,2006-05-08 10:00:00,hopdog,52
1226,31906,2006-08-25 10:00:00,egajdzis,2007-01-06 11:00:00,weeare138,134
1243,32569,2009-06-18 10:00:00,berley31,2009-08-09 10:00:00,mrmanning,52
1253,32903,2006-12-23 11:00:00,merlin48,2006-10-10 10:00:00,hopdog,74
1264,33278,2011-11-07 11:00:00,huhzubendah,2011-09-10 10:00:00,t0rin0,58
1299,34331,2006-12-15 11:00:00,beerbelcher,2006-11-22 11:00:00,uncle8gil,23
1300,34340,2007-09-29 10:00:00,arrogantb,2007-12-17 11:00:00,hopdog,79
1310,34544,2009-01-23 11:00:00,duhast500,2009-03-15 11:00:00,puboflyons,51
1315,34661,2007-01-08 11:00:00,weeare138,2007-01-05 11:00:00,hopdog,3
1342,35404,2007-03-26 10:00:00,arrogantb,2007-03-31 10:00:00,crosling,5
1345,35473,2007-02-26 11:00:00,weeare138,2007-02-20 11:00:00,hopdog,6
1381,36458,2007-10-23 10:00:00,chaingangguy,2007-06-12 10:00:00,yesyouam,133
1382,36532,2008-12-06 11:00:00,johnnnniee,2008-12-07 11:00:00,dubbercody,1
1389,36722,2007-06-18 10:00:00,arrogantb,2007-10-21 10:00:00,gusler,125
1390,36814,2009-06-09 10:00:00,popery,2009-06-19 10:00:00,illidurit,10
1402,37144,2007-06-28 10:00:00,penguinjive7,2007-08-02 10:00:00,sammy,35
1404,37157,2007-06-25 10:00:00,arrogantb,2007-10-25 10:00:00,dogbrick,122
1412,37510,2012-06-09 10:00:00,rangerred,2012-04-28 10:00:00,jrob21,42
1413,37518,2007-09-08 10:00:00,merlin48,2007-08-05 10:00:00,dogbrick,34
1444,38459,2007-10-09 10:00:00,mrbendo,2007-10-26 10:00:00,dogbrick,17
1456,38700,2007-11-04 11:00:00,williamherbert,2007-10-12 10:00:00,hopdog,23
1460,38795,2007-10-30 11:00:00,callmemickey,2007-11-12 11:00:00,gusler,13
1464,38855,2007-10-21 10:00:00,sammy,2007-10-01 10:00:00,bobsy,20
1466,38904,2013-09-23 10:00:00,exeter,2013-09-29 10:00:00,mlkluther,6
1478,39267,2007-12-04 11:00:00,arrogantb,2007-12-25 11:00:00,joe1510,21
1479,39286,2007-11-03 11:00:00,rajendra82,2007-12-08 11:00:00,corby112,35
1505,39721,2009-11-10 11:00:00,lothore,2009-12-15 11:00:00,drpimento,35
1509,39766,2008-01-21 11:00:00,merlin48,2007-12-13 11:00:00,kaf,39
1572,41380,2009-03-05 11:00:00,ricke,2009-03-08 11:00:00,linnet,3
1585,41558,2008-03-14 11:00:00,callmemickey,2008-05-09 10:00:00,corby112,55
1601,41789,2010-08-14 10:00:00,bsp77,2010-09-06 10:00:00,mora2000,23
1630,42505,2010-04-26 10:00:00,crossovert,2010-06-26 10:00:00,sammy,61
1636,42599,2008-05-12 10:00:00,sammy,2008-05-11 10:00:00,mrmanning,1
1638,42641,2008-05-30 10:00:00,brewandbbq,2008-06-02 10:00:00,illidurit,3
1651,43011,2008-07-22 10:00:00,markwise,2008-09-01 10:00:00,sammy,41
1665,43312,2008-07-06 10:00:00,sammy,2008-05-13 10:00:00,dalepryor,54
1676,43464,2011-04-09 10:00:00,huhzubendah,2011-04-24 10:00:00,thorpe429,15
1689,43761,2008-08-08 10:00:00,sammy,2008-07-13 10:00:00,mrmanning,26
1695,43897,2008-12-10 11:00:00,sammy,2008-07-30 10:00:00,hopdog,133
1700,43974,2008-09-01 10:00:00,illidurit,2008-12-07 11:00:00,hopdog,97
1702,44016,2008-10-12 10:00:00,atlbeerdog,2008-09-21 10:00:00,nick76,21
1721,44517,2009-01-09 11:00:00,chaingangguy,2008-09-26 10:00:00,hopdog,105
1730,44706,2009-08-22 10:00:00,callmemickey,2009-11-12 11:00:00,chaingangguy,82
1764,45438,2008-11-11 11:00:00,graham515,2008-11-18 11:00:00,jujubeast6000,7
1843,47137,2009-02-19 11:00:00,smcolw,2009-02-28 11:00:00,chaingangguy,9
1844,47137,2009-02-19 11:00:00,smcolw,2009-02-28 11:00:00,sammy,9
