Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Countenance_per_litre,Volume_ml,Price_per_litter,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Val-Dieu Triple,3.6,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,330ml,"€ 10,91 per litre",330,10.909090909090908,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
Moinette Blonde,6.0,Belgium,3.56,Brasserie Dupont,8.5,Belgian Strong Golden Ale,Bottle 750ml,"€ 8,00 per litre",750,8.0,6162,808,Brasserie Dupont,Belgian Strong Ale,950,97.0,97.0,3.73,8.5,3.7423157894736847,,0,
Vedett Extra Ordinary IPA,2.7,Belgium,3.49,Duvel Moortgat,5.5,IPA - Belgian,330ml,"€ 8,18 per litre",330,8.181818181818182,253212,247,Duvel Moortgat,India Pale Ale (IPA),420,59.0,39.0,3.27,5.5,3.2721428571428577,,0,
Val-Dieu Grand Cru,3.0,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,330ml,"€ 9,09 per litre",330,9.09090909090909,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Westmalle Dubbel,5.99,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,Bottle 750ml,"€ 7,99 per litre",750,7.986666666666667,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Duvel,2.45,Belgium,3.72,Duvel Moortgat,6.66,Belgian Strong Golden Ale,330ml,"€ 7,42 per litre",330,7.424242424242425,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Val-Dieu Blonde,6.2,Belgium,3.45,Brasserie de l'Abbaye du Val-Dieu,6.0,Belgian Blonde,Bottle 750ml,"€ 8,27 per litre",750,8.266666666666667,24198,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,480,50.0,67.0,3.22,6.0,3.226458333333333,,0,
Westmalle Tripel,3.49,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,330ml,"€ 10,58 per litre",330,10.575757575757576,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Duvel,6.9,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,Bottle 750ml,"€ 9,20 per litre",750,9.2,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Duvel,5.5,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,Bottle 750ml,"€ 7,33 per litre",750,7.333333333333333,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Val-Dieu Brune,3.2,Belgium,3.50,Brasserie de l'Abbaye du Val-Dieu,8.0,Belgian Dubbel,330ml,"€ 9,70 per litre",330,9.696969696969695,8762,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Dubbel,598,86.0,94.0,3.48,8.0,3.4859531772575267,0.2220401921067151,598,3.4859531772575267
Verzet Super NoAH,2.13,Belgium,3.29,Brouwerij 't Verzet,4.9,Belgian Blonde,Bottle 330ml,"€ 6,45 per litre",330,6.454545454545454,172331,12773,Brouwerij t Verzet,Belgian Ale,141,67.0,85.0,3.32,4.9,3.3304964539007096,,0,
Westmalle Dubbel,2.14,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,"€ 6,48 per litre",330,6.484848484848485,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Duvel,2.5,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 7,58 per litre",330,7.575757575757575,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Hof Ten Dormaal Sloe,4.67,Belgium,3.66,Brouwerij Hof ten Dormaal,6.2,Sour - Fruited,330ml,"€ 14,15 per litre",330,14.15151515151515,414892,10535,Brouwerij Hof Ten Dormaal,Sour/Wild Ale,42,64.0,23.0,3.3,6.0,3.3309523809523816,,0,
