Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Duvel,1.99,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,330,6.03,Belgian Strong Golden Ale,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Corona Extra,2.19,Mexico,3.13,Grupo Modelo,4.6,Lager - Mexican,355ml,355,6.17,Lager,742,119,Grupo Modelo (Corona),Pale Lager,3650,1.0,12.0,1.71,4.5,1.7545205479452055,,0,
Kuchlbauer Aloysius,3.1,Germany,3.56,Weissbierbrauer Kuchlbauer,7.2,Bock - Weizenbock,500ml,500,6.2,Bock,19969,3251,Brauerei zum Kuchlbauer,Weizen Bock,134,74.0,68.0,3.37,7.2,3.3776119402985074,,0,
Westmalle Dubbel,2.05,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,330,6.21,Belgian Dubbel,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Texels Skuumkoppe,1.9,Netherlands,3.62,Texelse Bierbrouwerij,6.0,Wheat Beer - Dunkelweizen,Bottle 300ml,300,6.33,Wheat Beer,23569,1995,Texelse Bierbrouwerij,Dunkelweizen,264,44.0,64.0,3.12,6.0,3.138636363636364,-0.4292250556278051,264,3.138636363636364
Zillertal Schwarzes,2.1,Austria,3.33,Zillertal Bier,5.2,Schwarzbier,330ml,330,6.36,Schwarzbier,40667,4012,Zillertal,Schwarzbier,52,22.0,20.0,2.81,5.2,2.8019230769230763,,0,
Verzet Super NoAH,2.13,Belgium,3.29,Brouwerij 't Verzet,4.9,Belgian Blonde,Bottle 330ml,330,6.45,Belgian Blonde,172331,12773,Brouwerij t Verzet,Belgian Ale,141,67.0,85.0,3.32,4.9,3.3304964539007096,,0,
Pinta Atak Chmielu,3.26,Poland,3.55,Browar PINTA,6.1,IPA - American,500ml,500,6.52,IPA,142432,5333,Browar na Jurze,India Pale Ale (IPA),515,93.0,91.0,3.6,6.1,3.6310679611650487,0.3407151730885356,515,3.6310679611650487
Petrus Blond,2.15,Belgium,3.35,Brouwerij De Brabandere,6.5,Belgian Blonde,330ml,330,6.52,Belgian Blonde,9317,380,De Brabandere,Belgian Ale,570,42.0,46.0,3.09,6.6,3.0861403508771934,-0.5365311234626784,570,3.0861403508771934
Saison Dupont Biologique,4.95,Belgium,3.42,Brasserie Dupont,5.5,Farmhouse Ale - Saison,Bottle 750ml,750,6.6,Farmhouse Ale,4679,808,Brasserie Dupont,Saison,585,88.0,79.0,3.5,5.5,3.5092307692307694,,0,
Maisel & Friends Pale Ale,2.19,Germany,3.56,Brauerei Gebr. Maisel,5.2,Pale Ale - American,330ml,330,6.64,Pale Ale,252899,778,Brauerei Gebr. Maisel Bayreuth,American Pale Ale,250,64.0,59.0,3.3,5.2,3.3147999999999995,,0,
Val-Dieu Blonde,2.2,Belgium,3.45,Brasserie de l'Abbaye du Val-Dieu,6.0,Belgian Blonde,330ml,330,6.67,Belgian Blonde,24198,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,480,50.0,67.0,3.22,6.0,3.226458333333333,,0,
Kasteel Rouge,2.2,Belgium,3.58,Kasteel Brouwerij Vanhonsebrouck,8.0,Fruit Beer,330ml,330,6.67,Fruit Beer,9010,956,Brouwerij Van Honsebrouck,Fruit Beer,1247,85.0,96.0,3.47,8.0,3.488291900561346,0.1938496389052512,1247,3.488291900561346
Toetëlèr Amber Tripel,2.2,Belgium,3.41,Brouwerij Den Toetëlèr,8.5,Belgian Tripel,330ml,330,6.67,Belgian Tripel,169526,12610,Brouwerij Den Toetëlèr,Abbey Tripel,36,45.0,30.0,3.11,8.5,3.1305555555555564,-0.4980445682229619,36,3.1305555555555564
Ename Dubbel,2.2,Belgium,3.35,Brouwerij Roman,6.6,Belgian Dubbel,330ml,330,6.67,Belgian Dubbel,5196,953,Brouwerij Roman,Abbey Dubbel,271,47.0,44.0,3.15,6.5,3.1487084870848707,,0,
Jandrain-Jandrenouille III Gravity,2.25,Belgium,3.52,Brasserie de Jandrain-Jandrenouille,7.5,Belgian Strong Golden Ale,330ml,330,6.82,Belgian Strong Golden Ale,519985,9051,Brasserie de Jandrain-Jandrenouille,Belgian Ale,3,,,3.19,7.5,3.533333333333333,,0,
Jandrain-Jandrenouille V Cense,2.25,Belgium,3.53,Brasserie de Jandrain-Jandrenouille,7.0,Farmhouse Ale - Saison,330ml,330,6.82,Farmhouse Ale,99366,9051,Brasserie de Jandrain-Jandrenouille,Belgian Ale,309,87.0,95.0,3.49,7.0,3.5009708737864083,0.2105047948656891,309,3.5009708737864083
Jandrain-Jandrenouille IV Saison,2.25,Belgium,3.64,Brasserie de Jandrain-Jandrenouille,6.5,Farmhouse Ale - Saison,Bottle 330ml,330,6.82,Farmhouse Ale,79849,9051,Brasserie de Jandrain-Jandrenouille,Saison,502,95.0,93.0,3.66,6.5,3.6703187250996017,,0,
Jandrain-Jandrenouille VI Wheat,2.25,Belgium,3.52,Brasserie de Jandrain-Jandrenouille,6.0,Wheat Beer - Witbier / Blanche,330ml,330,6.82,Wheat Beer,125488,9051,Brasserie de Jandrain-Jandrenouille,Wheat Ale,246,92.0,99.0,3.57,6.0,3.5886178861788616,,0,
Pinta Modern Drinking,3.46,Poland,3.66,Browar PINTA,6.5,IPA - American,500ml,500,6.92,IPA,379286,12742,Browar PINTA,India Pale Ale (IPA),352,97.0,97.0,3.72,6.4,3.7474431818181815,,0,
Gentse Strop,2.3,Belgium,3.46,Brouwerij Roman,6.9,Belgian Blonde,330ml,330,6.97,Belgian Blonde,146019,953,Brouwerij Roman,Belgian Ale,220,52.0,70.0,3.23,6.9,3.24,,0,
